RecordNo,Q43,Q46,Q17,Zip,Q37
"5,366",3,2,3,23507,2
"5,394",2,2,3,23523,3
"5,398",3,2,2,23523,2
"5,412",1,2,5,23505,1
"5,436",2,2,2,23434,2
"5,445",1,1,1,23323,1
"5,451",2,2,3,23453,1
"5,459",1,2,2,23513,2
"5,468",2,2,5,23503,3
"5,470",2,2,2,23452,3
"5,475",2,2,3,23505,2
"5,478",2,2,2,23602,3
"5,492",1,2,2,23454,1
"5,495",1,2,2,23503,1
"5,499",1,2,3,23434,2
"5,501",2,2,3,23663,3
"5,512",1,2,2,23669,1
"5,520",1,2,2,23322,2
"5,523",1,2,2,23322,1
"5,539",1,2,2,23666,2
"5,548",1,2,1,23608,1
"5,562",1,2,2,99999,1
"5,572",1,2,2,23324,2
"5,576",2,2,2,23669,2
"5,593",2,1,1,23507,2
"5,602",2,2,3,23503,2
"5,612",2,2,1,23464,1
"5,618",1,2,3,23322,1
"5,624",1,2,3,23605,1
"5,625",2,2,2,23321,2
"5,629",1,2,2,23507,2
"5,633",1,2,2,23320,2
"5,646",2,2,1,23322,1
"5,671",1,2,2,23601,1
"5,672",2,2,2,23606,1
"5,683",1,2,2,23664,1
"5,690",1,2,3,23462,1
"5,696",4,2,3,23518,2
"5,698",1,2,3,23455,1
"5,708",2,2,2,23663,3
"5,722",2,2,3,23505,2
"5,729",1,2,2,23322,1
"5,759",2,2,2,23601,1
"5,765",2,2,2,23322,1
"5,781",1,2,2,23455,1
"5,784",2,1,4,23608,2
"5,793",1,2,3,23451,1
"5,797",1,2,3,23455,1
"5,805",1,2,1,23707,2
"5,806",2,2,3,23452,1
"5,829",1,2,2,23322,1
"5,855",2,2,3,23452,1
"5,872",2,2,3,23434,2
"5,881",1,2,1,23322,1
"5,892",1,2,1,23455,1
"5,924",1,2,5,23503,2
"5,936",1,2,2,23692,2
"5,964",2,2,2,23321,3
"5,966",1,2,2,23320,2
"5,968",2,2,4,23602,2
"5,992",2,2,3,23455,1
"5,994",2,2,2,23503,2
"6,005",2,2,2,23605,3
"6,016",2,2,3,23322,1
"6,038",2,2,3,23606,1
"6,048",2,2,2,23434,4
"6,064",1,2,3,23454,1
"6,065",2,2,3,23453,2
"6,067",1,2,1,23454,1
"6,069",2,1,2,23323,2
"6,085",4,2,5,23663,1
"6,116",2,2,3,23606,2
"6,120",2,2,3,23434,1
"6,140",2,2,2,23505,2
"6,154",1,2,1,23322,1
"6,160",1,2,1,23513,1
"6,173",1,2,3,23456,2
"6,191",1,2,5,23608,2
"6,194",2,2,4,23513,2
"6,199",2,2,2,23505,2
"6,229",2,2,3,23455,1
"6,230",1,2,2,23435,1
"6,242",2,1,2,23502,2
"6,261",1,2,4,23455,2
"6,267",3,2,3,23505,0
"6,273",3,2,88,23321,2
"6,275",4,1,2,23451,3
"6,281",2,2,3,23464,2
"6,286",1,2,4,23702,1
"6,316",1,2,2,23435,0
"6,326",1,2,2,23454,1
"6,327",2,2,2,23666,2
"6,331",1,2,4,23707,2
"6,342",2,2,4,23453,3
"6,363",2,2,3,23702,4
"6,365",2,2,3,23464,3
"6,376",1,2,5,23607,1
"6,381",1,2,3,23456,1
"6,383",1,2,2,23434,1
"6,390",1,2,3,23701,1
"6,402",2,2,2,23322,1
"6,407",2,2,3,23703,2
"6,414",2,2,5,23509,3
"6,415",2,2,2,23503,2
"6,421",1,2,3,23661,2
"6,448",1,2,3,23703,1
"6,483",3,2,5,23666,1
"6,486",2,2,2,23455,1
"6,505",1,2,2,23325,1
"6,539",2,2,4,23454,2
"6,542",3,2,2,23321,3
"6,545",1,2,3,23464,1
"6,554",1,2,2,23669,2
"6,559",4,2,1,23462,2
"6,567",1,2,3,23518,2
"6,577",2,2,1,23321,1
"6,587",1,2,2,23606,1
"6,588",1,2,3,23606,1
"6,591",2,2,3,23322,1
"6,596",1,2,2,23322,1
"6,601",2,2,3,23664,1
"6,629",1,2,1,23320,1
"6,645",1,1,3,23666,2
"6,664",1,2,1,23669,2
"6,683",1,2,2,23451,1
"6,689",2,2,1,23702,2
"6,707",1,2,3,23452,2
"6,711",2,2,1,23703,1
"6,713",1,2,1,23322,1
"6,733",2,2,3,23434,1
"6,779",2,2,3,23456,2
"6,818",2,2,3,23704,2
"6,820",1,2,2,23323,2
"6,824",2,2,3,23602,1
"6,834",1,2,1,23454,1
"6,845",2,2,3,23322,1
"6,847",1,2,1,23464,2
"6,852",2,2,1,23322,2
"6,853",1,2,3,23462,1
"6,867",2,2,2,23323,1
"6,894",1,2,1,23324,2
"6,913",2,2,2,23504,2
"6,924",2,2,3,23452,1
"6,929",2,2,2,23456,2
"6,959",2,2,1,23666,3
"6,966",1,2,2,23704,1
"6,990",4,2,3,23464,1
"7,015",1,2,2,23322,1
"7,033",2,2,2,23608,3
"7,072",2,2,2,23434,1
"7,094",2,2,3,23451,1
"7,117",2,2,2,23505,2
"7,125",1,2,3,23456,1
"7,129",1,2,2,23322,1
"7,137",1,2,5,23513,3
"7,181",2,2,3,23462,0
"7,186",1,2,1,23455,2
"7,222",1,2,3,23455,2
"7,250",1,2,3,23505,3
"7,255",2,1,3,23608,1
