RecordNo,Q43,Q46,Q17,Zip,Q37,Q56,Q8A,Q53,Q58,Q2,FIPS,Q8B
"3,867",2,2,2,23703,2,2,3,1,11,2,Portsmouth,2
"3,872",1,2,2,23693,1,5,,1,,1,Newport News,
"3,874",2,1,2,23701,3,4,,2,,1,Portsmouth,
"3,877",2,2,4,23666,2,1,,2,8,1,Hampton,
"3,880",1,2,2,23435,1,1,,2,7,1,Suffolk,
"3,885",3,2,3,23454,1,5,,1,,1,Virginia Beach,
"3,894",2,1,3,23435,1,1,1,2,11,1,Portsmouth,2
"3,909",2,2,2,23666,2,1,,2,7,1,Hampton,
"3,916",1,2,5,23464,1,5,,1,,1,Virginia Beach,
"3,919",1,2,2,23707,1,1,,1,10,1,Portsmouth,
"3,937",2,2,2,23605,3,1,,1,4,1,Hampton,
"3,942",2,2,2,23503,1,1,,1,10,1,Virginia Beach,
"3,955",2,2,3,23701,2,1,,1,5,1,Chesapeake,
"3,966",1,2,2,23320,1,4,2,1,,1,Chesapeake,1
"4,005",2,2,2,23703,1,3,,7,,1,Portsmouth,
"4,006",1,2,1,23456,1,1,1,1,11,1,Virginia Beach,1
"4,024",1,2,2,23666,2,5,,7,,1,Hampton,
"4,046",2,2,3,23455,2,4,2,1,,1,Virginia Beach,1
"4,047",1,1,3,23322,2,1,,1,11,1,Chesapeake,
"4,048",2,2,3,23434,2,1,,7,11,1,Suffolk,
"4,078",1,2,3,23464,1,1,2,1,11,1,Virginia Beach,1
"4,084",2,2,2,23504,2,4,2,2,,1,Virginia Beach,1
"4,085",1,2,2,23503,2,1,,2,2,1,Norfolk,
"4,098",88,2,1,23601,1,5,,1,,1,Newport News,
"4,103",1,2,2,23434,1,1,,1,9,1,Suffolk,
"4,118",2,2,2,23605,2,3,2,2,,2,Hampton,1
"4,119",1,2,2,23505,1,5,,1,,1,Virginia Beach,
"4,126",1,2,4,23606,2,5,,2,,1,Newport News,
"4,139",2,2,3,23434,3,1,3,2,11,1,Suffolk,1
"4,151",2,2,2,23523,2,5,,2,,1,Chesapeake,
"4,157",2,2,3,23669,2,2,2,1,6,1,Hampton,1
"4,164",2,2,3,23321,2,3,,8,,1,Suffolk,
"4,170",1,2,4,23703,1,1,,2,6,1,Suffolk,
