RecordNo,Q43,Q46,Q17,Zip
"3,724",3,2,2,23324
"3,725",1,2,2,23503
"3,735",2,2,1,23454
"3,742",1,2,2,23704
"3,743",2,2,3,23454
"3,755",1,2,2,23513
"3,761",1,2,3,23453
"3,763",1,2,3,23322
"3,796",2,2,3,23669
"3,805",1,2,3,23666
"3,827",2,2,5,23607
"3,831",2,2,2,23703
"3,835",2,2,2,23518
"3,842",2,2,2,23323
"3,850",1,2,2,23456
"3,857",2,2,2,23503
"3,860",2,2,3,23669
"3,867",2,2,2,23703
"3,872",1,2,2,23693
"3,874",2,1,2,23701
"3,877",2,2,4,23666
"3,880",1,2,2,23435
"3,885",3,2,3,23454
"3,894",2,1,3,23435
"3,909",2,2,2,23666
"3,916",1,2,5,23464
"3,919",1,2,2,23707
"3,937",2,2,2,23605
"3,942",2,2,2,23503
"3,955",2,2,3,23701
"3,966",1,2,2,23320
"4,005",2,2,2,23703
"4,006",1,2,1,23456
"4,024",1,2,2,23666
"4,046",2,2,3,23455
"4,047",1,1,3,23322
"4,048",2,2,3,23434
"4,078",1,2,3,23464
"4,084",2,2,2,23504
"4,085",1,2,2,23503
"4,098",88,2,1,23601
"4,103",1,2,2,23434
"4,118",2,2,2,23605
"4,119",1,2,2,23505
"4,126",1,2,4,23606
"4,139",2,2,3,23434
"4,151",2,2,2,23523
"4,157",2,2,3,23669
"4,164",2,2,3,23321
"4,170",1,2,4,23703
"4,179",1,2,1,23321
"4,180",1,2,1,23661
"4,193",2,2,1,23434
"4,195",1,2,3,23454
"4,205",1,2,3,23456
"4,225",2,1,2,23451
"4,232",2,2,2,23456
"4,235",1,2,4,23322
"4,243",1,2,4,23503
"4,249",2,2,2,23321
"4,263",1,2,3,23320
"4,287",2,2,2,23322
"4,302",1,2,5,23669
"4,315",2,2,2,23320
"4,328",1,2,4,23322
"4,345",1,2,2,23455
"4,350",2,2,2,23703
"4,358",1,2,5,23323
"4,387",1,2,3,23504
"4,396",2,2,2,23456
"4,409",2,2,2,23464
"4,412",1,2,2,23435
"4,427",1,2,88,23324
"4,436",1,2,3,23434
"4,456",2,2,1,23701
"4,462",1,2,3,23503
"4,482",1,2,1,23503
"4,493",3,2,1,23601
"4,496",2,2,2,23320
"4,503",1,2,3,23462
"4,509",1,2,1,23454
"4,518",1,2,2,23508
"4,532",2,2,4,23456
"4,544",1,2,3,23456
"4,581",2,2,3,23690
"4,587",1,2,2,23321
"4,590",2,2,3,23664
"4,605",2,2,3,23323
"4,639",4,2,2,23505
"4,646",2,2,2,23322
"4,655",2,2,2,23451
"4,658",1,2,3,23452
"4,662",1,2,2,23323
"4,677",2,2,4,23511
"4,703",1,2,2,23452
"4,704",1,2,3,23504
"4,705",2,2,3,23434
"4,729",1,2,2,23455
"4,731",2,2,2,23502
"4,747",2,2,3,23452
"4,757",2,2,3,23462
"4,800",2,2,2,23456
"4,802",1,2,3,23322
"4,816",1,2,1,23464
"4,817",1,2,3,23322
"4,866",1,2,2,23452
"4,874",2,2,5,23320
"4,881",2,2,2,23320
"4,895",2,2,2,23452
"4,905",2,2,1,23323
"4,912",2,2,1,23508
"4,920",1,2,2,23664
"4,942",2,2,3,23464
"4,962",1,2,3,23451
"4,965",2,2,2,23454
"4,975",2,2,3,23434
"4,992",3,2,2,23454
"4,994",3,2,3,23605
"5,003",1,2,1,23703
"5,005",1,2,3,23434
"5,012",2,2,3,23434
"5,048",1,2,4,23664
"5,068",1,2,3,23464
"5,069",1,2,1,23434
"5,103",2,2,2,23321
"5,106",1,2,3,23320
"5,107",1,2,3,23666
"5,112",1,2,2,23454
"5,131",2,2,3,23462
"5,132",2,2,3,23518
"5,150",1,2,3,23322
"5,168",1,2,3,23435
"5,191",1,2,3,23323
"5,244",2,2,2,23703
"5,268",2,2,4,23666
"5,278",2,2,2,23320
"5,279",1,2,2,23666
"5,293",1,2,4,23456
"5,306",2,2,3,23602
"5,315",2,2,88,23601
"5,319",2,2,3,23602
"5,328",1,2,1,23425
"5,338",2,2,1,23464
"5,350",1,2,88,23505
"5,354",1,1,3,23502
"5,365",3,2,4,23320
"5,366",3,2,3,23507
"5,394",2,2,3,23523
"5,398",3,2,2,23523
"5,412",1,2,5,23505
"5,436",2,2,2,23434
"5,445",1,1,1,23323
"5,451",2,2,3,23453
"5,459",1,2,2,23513
"5,468",2,2,5,23503
"5,470",2,2,2,23452
"5,475",2,2,3,23505
"5,478",2,2,2,23602
"5,492",1,2,2,23454
"5,495",1,2,2,23503
"5,499",1,2,3,23434
"5,501",2,2,3,23663
"5,512",1,2,2,23669
"5,520",1,2,2,23322
"5,523",1,2,2,23322
"5,539",1,2,2,23666
"5,548",1,2,1,23608
"5,562",1,2,2,99999
"5,572",1,2,2,23324
"5,576",2,2,2,23669
"5,593",2,1,1,23507
"5,602",2,2,3,23503
"5,612",2,2,1,23464
"5,618",1,2,3,23322
"5,624",1,2,3,23605
"5,625",2,2,2,23321
"5,629",1,2,2,23507
"5,633",1,2,2,23320
"5,646",2,2,1,23322
"5,671",1,2,2,23601
"5,672",2,2,2,23606
"5,683",1,2,2,23664
"5,690",1,2,3,23462
"5,696",4,2,3,23518
"5,698",1,2,3,23455
"5,708",2,2,2,23663
"5,722",2,2,3,23505
"5,729",1,2,2,23322
"5,759",2,2,2,23601
"5,765",2,2,2,23322
"5,781",1,2,2,23455
"5,784",2,1,4,23608
"5,793",1,2,3,23451
"5,797",1,2,3,23455
"5,805",1,2,1,23707
"5,806",2,2,3,23452
"5,829",1,2,2,23322
"5,855",2,2,3,23452
"5,872",2,2,3,23434
"5,881",1,2,1,23322
"5,892",1,2,1,23455
"5,924",1,2,5,23503
"5,936",1,2,2,23692
"5,964",2,2,2,23321
"5,966",1,2,2,23320
"5,968",2,2,4,23602
"5,992",2,2,3,23455
"5,994",2,2,2,23503
"6,005",2,2,2,23605
"6,016",2,2,3,23322
"6,038",2,2,3,23606
"6,048",2,2,2,23434
"6,064",1,2,3,23454
"6,065",2,2,3,23453
"6,067",1,2,1,23454
"6,069",2,1,2,23323
"6,085",4,2,5,23663
"6,116",2,2,3,23606
"6,120",2,2,3,23434
"6,140",2,2,2,23505
"6,154",1,2,1,23322
"6,160",1,2,1,23513
"6,173",1,2,3,23456
"6,191",1,2,5,23608
"6,194",2,2,4,23513
"6,199",2,2,2,23505
"6,229",2,2,3,23455
"6,230",1,2,2,23435
"6,242",2,1,2,23502
"6,261",1,2,4,23455
"6,267",3,2,3,23505
"6,273",3,2,88,23321
"6,275",4,1,2,23451
"6,281",2,2,3,23464
"6,286",1,2,4,23702
"6,316",1,2,2,23435
"6,326",1,2,2,23454
"6,327",2,2,2,23666
"6,331",1,2,4,23707
"6,342",2,2,4,23453
"6,363",2,2,3,23702
"6,365",2,2,3,23464
"6,376",1,2,5,23607
"6,381",1,2,3,23456
"6,383",1,2,2,23434
"6,390",1,2,3,23701
"6,402",2,2,2,23322
"6,407",2,2,3,23703
"6,414",2,2,5,23509
"6,415",2,2,2,23503
"6,421",1,2,3,23661
